,s,i,j,target,ijd,thisclose,lastclose,cd,en_pos,i_shift,j_shift,insert_or_delete
2705,.....((((((.(......((((........(..........)........((.((......))))...(((((...))))).)))).).))))))....,32,43,0,0.4666666666666667,0.35714285714285715,0.2857142857142857,0,0.8791208791208791,0,0,1
2706,.....((((((.(......((((.....(................).....((.((......))))...(((((...))))).)))).).))))))....,29,46,0,0.3333333333333333,0.2857142857142857,0.2857142857142857,0,0.945054945054945,0,0,1
2707,.....((((((.(......(.((............................((.((......))))...(((((...))))).)).).).))))))....,-21,-86,0,0.13333333333333333,0.2857142857142857,0.2857142857142857,0,1.0,1,0,0
2708,.....((((((.((.....((((.............................(.((......)))....(((((...))))).)))))).))))))....,-52,-66,1,0.7142857142857143,0.3076923076923077,0.0,1,0.0,0,1,0
2709,.....((((((.((.....((((............................((.(........)))...(((((...))))).)))))).))))))....,-56,-63,1,0.9285714285714286,0.3076923076923077,0.0,1,0.22950819672131148,0,0,0
2710,.....((((((.((.....((((.........(........).........((.((......))))...(((((...))))).)))))).))))))....,33,42,1,0.5714285714285714,0.38461538461538464,0.0,0,0.24590163934426232,0,0,1
2711,.....((((((.((......(((............................((.((......))))...(((((...))))).))).)).))))))....,-20,-87,1,0.07142857142857142,0.3076923076923077,0.0,1,0.47540983606557374,1,1,0
2712,.....((((((.((.....((((......(..............)......((.((......))))...(((((...))))).)))))).))))))....,30,45,1,0.42857142857142855,0.38461538461538464,0.0,0,0.47540983606557374,0,0,1
2713,.....((((((.((.....(((.............................((.((......))))...(((((...)))))..))))).))))))....,-23,-84,1,0.2857142857142857,0.3076923076923077,0.0,1,0.5737704918032787,1,0,0
2714,.....((((((.((.....((((............................(..((......)).)...(((((...))))).)))))).))))))....,-53,-65,1,0.7857142857142857,0.3076923076923077,0.0,1,0.6229508196721312,0,1,0
