,0,1,2,3,4,5,6,7,8
34,-25.7,145701,12.701496839523315,-25.7,70714,8.188600301742554,-25.7,66381,7.799633979797363
35,-40.9,37004,1.3054983615875244,-40.9,27665,1.1447055339813232,-40.9,25209,1.13380765914917
36,-57.9,9319,0.32119297981262207,-57.9,5259,0.259110689163208,-57.9,4567,0.24259614944458008
37,-40.3,310556,17.892332077026367,-40.3,125902,10.56985092163086,-40.3,97185,9.761736869812012
38,-40.3,39853,1.4740192890167236,-40.3,21634,1.0313315391540527,-40.3,18003,0.881406307220459
39,-53.5,101516,4.716536521911621,-54.1,65224,3.62241530418396,-54.1,59717,3.3579835891723633
40,-28.52,261371,17.282177209854126,-28.52,128572,10.452991962432861,-28.52,113444,9.781102895736694
41,-44.4,13226,0.5441205501556396,-44.4,8008,0.43427252769470215,-44.4,7630,0.38259458541870117
42,-31.5,678701,33.686469078063965,-31.5,371297,21.88666558265686,-31.2,328083,20.065709352493286
43,-33.4,132471,9.26824951171875,-33.4,75167,6.457326412200928,-33.4,66628,6.014926910400391
44,-35.8,55841,4.093118667602539,-35.8,34796,3.125079393386841,-35.8,33440,3.111631393432617
45,-37.3,64621,4.55523157119751,-37.3,33627,3.082834243774414,-36.6,28434,2.8044698238372803
46,-27.3,299473,14.246482372283936,-27.3,155706,8.927037239074707,-27.3,150907,8.697731971740723
47,-35.2,66633,4.880571365356445,-35.2,42825,3.721550226211548,-36.1,37768,3.7313337326049805
48,-37.3,81031,4.817719459533691,-37.3,53676,3.695322275161743,-37.3,48595,3.3607265949249268
49,-22.5,1122455,63.72439479827881,-22.5,619017,39.6671359539032,-22.5,569733,36.48437523841858
50,-26.2,826036,45.00697708129883,-26.2,488436,29.997572660446167,-26.2,458567,28.784682273864746
51,-32.3,106468,8.47729778289795,-32.3,53626,5.476977348327637,-31.8,57689,5.259193420410156
52,-31.4,593225,30.093721866607666,-31.4,323055,19.572940587997437,-31.4,287685,18.01233720779419
53,-24.7,640894,33.86082434654236,-24.7,385393,23.332664012908936,-24.7,358633,22.81274962425232
54,-32.5,249168,16.85158896446228,-32.5,130523,10.749318599700928,-32.5,118217,10.220343589782715
55,-31.4,651175,31.635316610336304,-31.4,361862,20.586620092391968,-31.4,307589,18.634413480758667
56,-42.8,208603,12.376298427581787,-42.8,109540,8.384339332580566,-42.8,96910,7.771355390548706
57,-17.8,668489,52.682177782058716,-17.8,361654,33.508201122283936,-17.8,345377,32.825146436691284
